sku,title,category,price,stock,description,image_url
AUR-001,Vestido Midi Lino Ivory,Vestidos,48.00,15,"Vestido midi confeccionado en 100% lino orgánico color marfil con escote cuadrado y cinturón a juego.",https://images.unsplash.com/photo-1595777457583-95e059d581b8?auto=format&fit=crop&w=800&q=80
AUR-002,Vestido Camisero Satinado,Vestidos,55.00,12,"Vestido corte camisero con acabado satinado en tono terracota ideal para eventos formales o cóctel.",https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?auto=format&fit=crop&w=800&q=80
AUR-003,Vestido Largo Bohemia Floral,Vestidos,62.00,8,"Maxi vestido estampado floral en tonos tierra con mangas abullonadas y detalle de espalda abierta.",https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&w=800&q=80
AUR-004,Vestido Ajustado Cut-Out Negro,Vestidos,42.00,20,"Little black dress contemporáneo con sutil corte lateral en costillas y tejido elástico prémium.",https://images.unsplash.com/photo-1539008835657-9e8e9680c956?auto=format&fit=crop&w=800&q=80
AUR-005,Vestido Corto Escote V Verde Oliva,Vestidos,38.00,18,"Vestido casual fluido con caída suave en tono verde oliva con botones de carey delanteros.",https://images.unsplash.com/photo-1568252542512-9fe8fe9c87bb?auto=format&fit=crop&w=800&q=80
AUR-006,Vestido Wrap Estampado Geométrico,Vestidos,49.00,10,"Vestido cruzado tipo wrap que estiliza la silueta con estampado minimalista en blanco y negro.",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?auto=format&fit=crop&w=800&q=80
AUR-007,Vestido Asimétrico Seda Champagne,Vestidos,75.00,6,"Vestido de un solo hombro en seda artificial prémium con caída líquida y brillo sutil.",https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=800&q=80
AUR-008,Vestido Blazer Estructurado Beige,Vestidos,68.00,9,"Vestido tipo blazer cruzado de sastrería fina con solapa clásica y botones dorados metálicos.",https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&w=800&q=80
AUR-009,Vestido Tirantes Canalé Taupe,Vestidos,32.00,25,"Vestido midi de punto acanalado fino en tono topo, elástico y cómodo para el día a día.",https://images.unsplash.com/photo-1529139574466-a303027c1d8b?auto=format&fit=crop&w=800&q=80
AUR-010,Vestido Volantes Romántico Blanco,Vestidos,52.00,14,"Vestido corto con detalles bordados suizos y capas de volantes ligeros en algodón 100%.",https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=800&q=80
AUR-011,Blusa Seda Cuello Halter Nude,Tops y Blusas,35.00,20,"Blusa fluida con cuello halter y espalda descubierta en tono nude empolvado.",https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=800&q=80
AUR-012,Camisa Oversize Popelín Rayas,Tops y Blusas,40.00,22,"Camisa boyfriend de popelín de algodón con rayas finas azules y blancas, bolsillo frontal.",https://images.unsplash.com/photo-1598554747436-c9293d6a588f?auto=format&fit=crop&w=800&q=80
AUR-013,Top Corsetero Lino Natural,Tops y Blusas,28.00,18,"Top estilo corsé estructurado con varillas flexibles y cremallera metálica trasera.",https://images.unsplash.com/photo-1502716119720-b23a93e5fe1b?auto=format&fit=crop&w=800&q=80
AUR-014,Body Segunda Piel Mocha,Tops y Blusas,24.00,30,"Body sin costuras de compresión suave en tono café moca con broche inferior ajustable.",https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=800&q=80
AUR-015,Blusa Cruzada Mangas Abullonadas,Tops y Blusas,36.00,15,"Blusa drapeada de escote en V con lazo ajustable a la cintura en color terracota.",https://images.unsplash.com/photo-1485968579580-b6d095142e6e?auto=format&fit=crop&w=800&q=80
AUR-016,Top Asimétrico Canalé Arena,Tops y Blusas,22.00,25,"Top minimalista de un solo tirante ancho en tejido canalé elástico color arena.",https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?auto=format&fit=crop&w=800&q=80
AUR-017,Camisa Lino Rústico Crudo,Tops y Blusas,45.00,14,"Camisa relajada de lino crudo con botones de madera y bolsillo de parche.",https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?auto=format&fit=crop&w=800&q=80
AUR-018,Top Halter Bordado Perlas,Tops y Blusas,38.00,10,"Top de fiesta con delicado detalle bordado en cuello y dobladillo en blanco puro.",https://images.unsplash.com/photo-1534126511673-b6899657816a?auto=format&fit=crop&w=800&q=80
AUR-019,Blusa Gasa Semitransparente Negra,Tops y Blusas,34.00,16,"Blusa vaporosa en gasa negra con cuello clásico y botones ocultos.",https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&w=800&q=80
AUR-020,Crop Top Nudo Delantero Mandarina,Tops y Blusas,20.00,25,"Crop top fresco de algodón con lazo frontal en color mandarina veraniego.",https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?auto=format&fit=crop&w=800&q=80
AUR-021,Pantalón Palazzo Sastrería Crema,Pantalones y Faldas,58.00,12,"Pantalón de tiro alto con pinzas pronunciadas y pernera ancha ultra favorecedora.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=800&q=80
AUR-022,Pantalón Recto Lino Mostaza,Pantalones y Faldas,46.00,15,"Pantalón recto de lino puro con cintura elástica trasera y bolsillos laterales.",https://images.unsplash.com/photo-1506629082955-511b1aa562c8?auto=format&fit=crop&w=800&q=80
AUR-023,Jeans Wide Leg Tiro Alto Vintage,Pantalones y Faldas,52.00,20,"Vaqueros de corte ancho en denim 100% algodón rígido con lavado vintage medio.",https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&w=800&q=80
AUR-024,Falda Midi Satinada Champagne,Pantalones y Faldas,44.00,16,"Falda corte al bies de satén fluido que abraza las curvas con elegancia natural.",https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?auto=format&fit=crop&w=800&q=80
AUR-025,Pantalón Cargo Estilizado Camel,Pantalones y Faldas,49.00,14,"Pantalón cargo refinado con bolsillos discretos y bajo ajustable con botón.",https://images.unsplash.com/photo-1517445312882-bc9910d016b7?auto=format&fit=crop&w=800&q=80
AUR-026,Falda Plisada Metálica Oro Rosa,Pantalones y Faldas,48.00,10,"Falda midi con microplisado permanente y acabado metalizado oro rosa brillante.",https://images.unsplash.com/photo-1551803091-e20673f15770?auto=format&fit=crop&w=800&q=80
AUR-027,Short Sastre Tiro Alto Beige,Pantalones y Faldas,34.00,22,"Short bermuda de sastrería con cinturón forrado en la misma tela y pinzas dobles.",https://images.unsplash.com/photo-1591195853828-11db59a44f6b?auto=format&fit=crop&w=800&q=80
AUR-028,Pantalón Flare Terciopelo Negro,Pantalones y Faldas,56.00,8,"Pantalón acampanado confeccionado en terciopelo suave y elástico de noche.",https://images.unsplash.com/photo-1509631179647-0177331693ae?auto=format&fit=crop&w=800&q=80
